,precision,recall,f1-score,support
0,1.0,1.0,1.0,200.0
1,1.0,1.0,1.0,200.0
2,1.0,1.0,1.0,200.0
3,0.5116279069767442,0.44,0.4731182795698925,200.0
4,0.4810126582278481,0.57,0.5217391304347826,200.0
5,0.9702970297029703,0.98,0.9751243781094527,200.0
6,1.0,1.0,1.0,200.0
7,0.873015873015873,0.825,0.8483290488431876,200.0
accuracy,0.851875,0.851875,0.851875,0.851875
macro avg,0.8544941834904294,0.8518749999999999,0.8522888546196645,1600.0
weighted avg,0.8544941834904294,0.851875,0.8522888546196644,1600.0
